,source_id,source_name,author_name,article_title,article_description,article_urlToImage,article_publishedAt,article_content
0,google-news,Google News,Reuters,TSMC bullish on outlook as AI boom blows Q3 profit past forecasts - Reuters,,,2024-10-17T08:14:18Z,
1,google-news,Google News,Reuters,Nokia joins Ericsson in seeing signs of recovery after mixed results - Reuters,,,2024-10-17T07:20:16Z,
2,google-news,Google News,CNN,China pumps half a trillion dollars into beleaguered property sector. But that’s not enough - CNN,,,2024-10-17T05:30:00Z,
3,google-news,Google News,CNBC,Auto giants launch a flurry of cheaper electric vehicles — taking the fight to China - CNBC,,,2024-10-17T05:18:43Z,
4,google-news,Google News,The Washington Post,Amazon doubles down on nuclear energy with deal for small reactors - The Washington Post,,,2024-10-17T04:53:09Z,
5,google-news,Google News,Decrypt,"Bitcoin Set to Rise Beyond $70,000 in 'Coming Weeks,' Experts Say - Decrypt",,,2024-10-17T04:48:42Z,
6,google-news,Google News,Reuters,"Robinhood launches desktop platform, adds futures and index options trading to app - Reuters",,,2024-10-17T03:49:00Z,
7,google-news,Google News,The Washington Post,Raytheon pays $950 million to settle fraud and Qatar bribery charges - The Washington Post,,,2024-10-17T02:54:35Z,
8,google-news,Google News,Daily Breeze,Phillips 66 closing its LA Harbor-area refinery; more than 600 jobs at stake - Daily Breeze,,,2024-10-17T02:28:50Z,
9,google-news,Google News,AirlineGeeks.com,DOT Tentatively Awards Coveted Washington National Slots - AirlineGeeks.com,,,2024-10-17T01:24:00Z,
10,google-news,Google News,TheStreet,Analyst delivers startling Apple warning amid Google antitrust case - TheStreet,,,2024-10-17T01:07:00Z,
11,google-news,Google News,BBC.com,Firm hacked after accidentally hiring North Korean cyber criminal - BBC.com,,,2024-10-17T00:10:38Z,
12,google-news,Google News,Financial Times,Uber explored possible bid for Expedia in ‘super app’ growth push - Financial Times,,,2024-10-16T23:57:00Z,
13,google-news,Google News,Fox News,Coca-Cola recalls Minute Maid 'Zero Sugar' Lemonade due to mislabeling - Fox News,,,2024-10-16T22:35:00Z,
14,google-news,Google News,Yahoo Finance,"Dow hits record high, declining volatility: Market Takeaways - Yahoo Finance",,,2024-10-16T22:15:28Z,
15,google-news,Google News,ABC15 Arizona in Phoenix,Intel to cut nearly 400 jobs in Arizona as part of wider layoffs - ABC15 Arizona in Phoenix,,,2024-10-16T21:15:15Z,
16,google-news,Google News,Yahoo Finance,ASML earnings disappointment isn't a disaster for the AI chip sector - Yahoo Finance,,,2024-10-16T21:14:12Z,
17,google-news,Google News,Energy.gov,LPO Announces Conditional Commitment to Montana Renewables to Significantly Expand US Sustainable Aviation Fuel Production - Energy.gov,,,2024-10-16T20:39:53Z,
18,google-news,Google News,Forbes,More Listeria Recalls: What To Know As Nearly 12 Million Pounds Of Meat Recalled - Forbes,,,2024-10-16T20:35:25Z,
