,source_id,source_name,author_name,article_title,article_description,article_urlToImage,article_publishedAt,article_content
0,260126782,Joy Anigbogu,Joy Anigbogu,NAF Airlifts Relief Materials Donated By Oluremi Tinubu To Borno Flood Victims,"LAGOS: The Nigerian Air Force (NAF) has continued to demonstrate its commitment to providing Aid to Civil Authority. According to a press statement on Thursday signed by Olusola F Akinboyewa, Air Commodore, Director Public Relations and Information, NAF had on Wednesday October 16 completed an airlift mission to deliver essential relief materials to flood victims [&#8230;]",https://independent.ng/wp-content/uploads/IMG-20241017-WA0158.jpg,2024-10-18 00:29:14,"LAGOS: The Nigerian Air Force (NAF) has continued to demonstrate its commitment to providing Aid to Civil Authority.

According to a press statement on Thursday signed by Olusola F Akinboyewa, Air Commodore, Director Public Relations and Information, NAF had on Wednesday October 16 completed an airlift mission to deliver essential relief materials to flood victims in Borno State.

“The relief supplies, donated by the First Lady, Senator Oluremi Tinubu, under the Renewed Hope Initiative, were airlifted by the NAF’s C-130 Hercules aircraft from Abuja to Maiduguri.

“The supplies comprised food items, clothing, sanitary essentials as well as toys for children. These critical resources will provide much-needed succour to affected communities in Maiduguri who were devastated by the 10 September flood disaster.

“The relief materials were received by senior NAF officers, led by the Air Component Commander, Operation HADIN KAI, before being handed over to the Borno State Government for distribution to flood victims.

“This mission highlights the NAF’s dedication to providing timely humanitarian assistance, particularly in regions severely impacted by natural disasters.” He added.

It would be recalled that in addition to ongoing airlift missions, the NAF also launched a medical outreach programme to support flood victims and provided food for over 2,000 Internally Displaced Persons (IDPs) during the crisis.

The collaboration between the First Lady’s office and the NAF demonstrates the significance of collective effort to alleviate the suffering of those affected by the flood in Borno State."
1,260130140,"Adeyinka Salami,Michael Olugbode",Adeyinka Salami,NAF Aircraft Delivers Relief Materials Donated by Tinubu’s Wife to Borno Flood Victims,"Linus Aleke in Abuja The Nigerian Air Force&#8217;s (NAF), C-130 Hercules aircraft yesterday delivered essential relief materials to flood victims in Borno State, as part of its continued commitment to",https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Borno-State-1.jpg,2024-10-18 02:07:41,"Linus Aleke in Abuja

The Nigerian Air Force’s (NAF), C-130 Hercules aircraft yesterday delivered essential relief materials to flood victims in Borno State, as part of its continued commitment to provide aid to civil authority.

A statement by Director of Public Relations and Information, Nigerian Air Force, Air Commodore Olusola Akinboyewa, said the relief supplies donated by Nigeria’s First Lady, Sen. Oluremi Tinubu, under the Renewed Hope Initiative, were airlifted by the NAF’ platform from Abuja to Maiduguri.

The supplies, he said comprised food items, clothing, sanitary essentials as well as toys for children.

According to Akinboyewa, “These critical resources will provide much-needed succour to affected communities in Maiduguri, that were devastated by the 10 September flood disaster.

“The relief materials were received by senior NAF officers, led by the Air Component Commander, Operation HADIN KAI, before being handed over to the Borno State Government for distribution to the flood victims”.

This mission, the NAF spokesperson said highlighted the NAF’s dedication to providing timely humanitarian assistance, particularly in regions severely impacted by natural disasters.

He recalled that in addition to ongoing airlift missions, the NAF also launched a medical outreach programme to support flood victims and provided food for over 2,000 Internally Displaced Persons during the crisis.

Akinboyewa said the collaboration between the First Lady’s office and the NAF demonstrates the significance of collective effort to alleviate the suffering of those affected by the flood in Borno State."
2,260155272,Tarkaa David,Tarkaa David,NAF Airlifts First Lady’s Relief Materials For Borno Flood Victims,"The Nigerian Air Force (NAF) has airlifted relief materials donated by First Lady Sen. Oluremi Tinubu for Borno flood victims. A statement by the NAF spokesman Air Cdre Olusola Akinboyewa said the NAF on 16 October 2024 completed the airlift in demonstration of its commitment to providing aid to civil authority. The relief supplies, donated [&#8230;]",https://leadership.ng/wp-content/uploads/2024/02/Remi-Tinubu.jpg,2024-10-18 07:31:42,"The Nigerian Air Force (NAF) has airlifted relief materials donated by First Lady Sen. Oluremi Tinubu for Borno flood victims.

A statement by the NAF spokesman Air Cdre Olusola Akinboyewa said the NAF on 16 October 2024 completed the airlift in demonstration of its commitment to providing aid to civil authority.

The relief supplies, donated by the First Lady under the Renewed Hope Initiative, were airlifted by the NAF’s C-130 Hercules aircraft from Abuja to Maiduguri.

He said the supplies comprised food items, clothing, sanitary essentials as well as toys for children.

“These critical resources will provide much-needed succour to affected communities in Maiduguri, that were devastated by the 10 September flood disaster,” he said.

According to the statement, the relief materials were received by senior NAF officers, led by the Air Component Commander, Operation HADIN KAI, before being handed over to the Borno State Government for distribution to flood victims.

“This mission highlights the NAF’s dedication to providing timely humanitarian assistance, particularly in regions severely impacted by natural disasters,” he added.
It should be noted that in addition to ongoing airlift missions, the NAF also launched a medical outreach programme to support flood victims and provided food for over 2,000 internally displaced persons (IDPs) during the crisis.
The collaboration between the First Lady’s office and the NAF demonstrates the significance of collective effort to alleviate the suffering of those affected by the flood in Borno State."
3,260127024,Gbenga Oloniniran,Gbenga Oloniniran,Lagos partners financial firms to empower traders,"The Lagos State Government has partnered with three financial institutions to make loans available to indigent women traders in the state. This is to enable them to boost their business capital and be financially literate and key into the state’s financial inclusion system. The Special Adviser to the Lagos State Governor on Sustainable Development Goals, 


 
 Read More",https://cdn.punchng.com/wp-content/uploads/2024/07/14194251/450602972_1084326466392949_2551328463341471554_n-1200x630.jpg,2024-10-18 00:45:47,"The Lagos State Government has partnered with three financial institutions to make loans available to indigent women traders in the state.

This is to enable them to boost their business capital and be financially literate and key into the state’s financial inclusion system.

The Special Adviser to the Lagos State Governor on Sustainable Development Goals, Dr Oreoluwa Finnih-Awokoya, disclosed this at a press conference in Lagos, on Thursday.

She said it was part of the responsibility of her office to promote human capital development through advocacy programmes, especially in areas where they lack assistance.

Finnih-Awokoya, flanked in her office in Ikeja by the representatives of the financial institutions partnering with the government, said it was the overall mandate of her office to eliminate financial exclusion.

She said to benefit from the programme, the women traders must have National Identification Numbers, and the Lagos State Resident Registration Agency ID.

“Collaboration is evidently the major approach to a private partnership, and this is why the SDG approached these relevant institutions. Nevertheless, we extend an invitation to all institutions to join us in this meritorious human capital development generally.

“Human capital development matters reflect the strength and growth of the society, but it was meant to implement the growth of the society. 

“It is going to be two sums, these two sums are a success factor for sustainable development growth. We can accomplish an equitable Lagos where every human thrives irrespective of their circumstances.”

The representative of OPAY financial institution, Adedotun Adekunle, said the essence of the programme was to get a lot of people into the financial ecosystem.

He said it was the nexus of what they were doing as a corporate financial organisation to get as many men and women into the financial ecosystem, to get them educated and empower them to do business so they can earn a living.

The representative of Cowry Wise, another financial institution, Oyeyinka Oyekan, said the core objective of Cowrie Wise since its establishment in 2017 was to make savings and investment accessible to all Africans, regardless of their socioeconomic background.

He said, “We are eager to partner with the office of the Sustainable Development Goals to inculcate financial integrity into indigent saturated areas of Lagos State through the human capital development initiative, we believe that financial integrity is not a privilege but a fundamental human right.

“Furthermore, financial literacy is the sustainable part of sustainable development growth, even more significant, this partnership which makes each initiative ignorant significant, this partnership will enable us to extend financial institutions to those who need it most, because of their financial future, and by extension contribute to our great state Lagos.”

He noted that by fostering financial literacy, they aimed to reduce barriers to economic participation and enable long-term participation for individuals and their families, particularly in underserved communities."
4,260129796,Adeyinka Salami,Adeyinka Salami,Lagos Partners Financial Institutions on Women Empowerment ,"&#8211;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;As UN Women court Christian religious leaders to combat violence against women, girls &#8211;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160;&#160; Segun James in Lagos and Michael Olugbode in Abuja To upscale the lot of the women",https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/2022/02/f15e7f8e-this-day-live-logo.png,2024-10-18 01:59:31,"– As UN Women court Christian religious leaders to combat violence against women, girls

Segun James in Lagos and Michael Olugbode in Abuja

To upscale the lot of the women folks in Lagos State, the state government has gone into partnership with some financial institutions to make loans easily available to indigent women and traders.

The move is to enable them boost their business capital and be financially literate in order to key into the state’s financial inclusion system.

In another related development, UN Women and the Organisation of African Instituted Churches (OIAC) have called for Christian leaders to escalate action to curb violence against women and girls.

This appeal came during a two-day UN Women and Ford Foundation-supported workshop for members of the OAIC.

On Lagos State’s partnership with some financial institutions, the Special Adviser to the Lagos State Governor on Sustainable Development Goals, Dr. Oreoluwa Finnih- Awokoya, who disclosed this yesterday, said it is part of the responsibility of her office to promote human capital development through advocacy programmes put together by her office and promote development in areas where they lack assistance.

She explained that to benefit from the programme the women trader must have National Identification Number NIN, Lagos State Resident Registration Agency (LASRRA).

Her words: “Collaboration is evidently the major approach to private partnership, and this is why the SDG approached these relevant institutions. Nevertheless, we extend an invitation to all institutions to join us in this meritorious human capital development generally.

“Human capital development matters reflect the strength and growth of the society, but it was meant to implement the growth of the society. It is going to be two sums. These two sums are a success factor for the sustainable development growth. We can accomplish an equitable Lagos where every human thrives irrespective of their circumstances.”

Finnih- Awokoya who was flanked by representatives of the financial institutions partnering the government said it is the overall mandate of her office to eliminate financial exclusion which most women had been subjected to.

In his remark the representative of OPAY financial institution, Mr. Adedotun Adekunle, said the essence of the programme is to get a lot of people into the financial ecosystem.

He said it is the nexus of what they are doing as a corporate financial organisation to get as many men and women into the financial ecosystem, to get them educated and empower them to do business and so they can earn a living.

The representative of Cowry Wise, another financial institution, Mr. Oyeyinka Oyekan, said core objectives of Cowrie Wise since its establishment in 2017 was to make savings and investment accessible to all Africans, regardless of their social economic background.

He said: “We are eager to partner the office of the Sustainable Development Goal SDGs, to inculcate financial integrity into indigent saturated areas of Lagos State through the human capital development initiative. We believe that financial integrity is not a privilege but a fundamental human right.

“Furthermore, financial literacy is the sustainable part of the sustainable development growth. This partnership will enable us to extend financial institutions to those who need it most because of their financial future, and by extension contribute to our great state Lagos.”

He noted that by fostering financial literacy, they aimed to reduce barriers in economic participation and enable long term participation for individuals and their families, particularly underserved communities, because they need to take control of their financial future and by extension introduce their financial institution.

Meanwhile, UN Women and OAIC (a community of leaders of different churches) explained the workshop targets enhancement of the knowledge of Christian leaders on the nuances of gender-based violence, initiate collective action against gender-based violence through the various church mechanisms, and provide the opportunity for Christian leaders and churches to network and consolidate on the fight against gender-based violence.

According to the World Health Organisation (WHO), one in three women worldwide has experienced physical and/or sexual violence in their lifetime. The United Nations Population Fund (UNFPA) reports that an estimated 137 women are killed daily by a partner or family member globally, highlighting the severe consequences of GBV.

In Nigeria, GBV remains a significant challenge, manifesting in various forms, such as domestic violence, sexual assault, and harmful traditional practices. These issues are often perpetuated by cultural norms and religious misinterpretations that justify violence and discrimination against women and girls.

Religious leaders, as moral guides and influencers within their communities, play a critical role in either reinforcing these harmful norms or championing efforts to eradicate GBV. This informed the reason behind organizing the workshop to lobby them.

According to a statement by UN Women on Thursday, the workshop is intended to impact sermons delivered by clergies and Christian leaders so that messages delivered over the pulpit have interpretations of religious texts and tenets that address gender inequality, condemn gender-based violence and harmful traditional practices, and promote gender justice.

UN Women Programmes Officer Ibrahim Nurudeen facilitated sessions that demystified some harmful social norms and beliefs common in the religious cycle.

Participants affirmed that some tenets need to be appropriately communicated in the contemporary context.

According to the President of the Christian Association of Nigeria, Rev. Daniel Okoh, “We must use this opportunity to deal with deprivation of opportunities for the female members to exercise their God-given talents by their spouses and the leadership of their churches.

“We must first deal with these issues connected to GBV before we can effectively give moral leadership in this advocacy and, indeed, the battle”.

The workshop provided in-depth analysis of GBV’s socio-economic impact, its implications, and the critical role of religious leaders in combating this issue.

Participants were equipped with strategies to incorporate gender equality principles in their messages, marriage counselling, and promoting healthy and respectful relationships.

President, OIAC Nigeria, Israel Akinadewo said: “Conclusively, as a noble organisation as ours, I would appeal that after these sessions, we become champions of spiritual battalions combating any form of GBV.”

The statement said by empowering religious leaders with the knowledge and tools they need, UN Women aims to drive a transformative socio-cultural shift towards a more just, equitable, and violence-free society in Nigeria and across West Africa."
5,260142388,"Oyebola Owolabi,The Nation",Oyebola Owolabi,"Lagos, firms partner to empower indigent traders","lagos State is partnering Opay and Cowry Wise financial services to make loans available to indigent women traders, Special Adviser to the governor on Sustainable Development Goals (SDG), Dr. Oreoluwa


The post Lagos, firms partner to empower indigent traders appeared first on The Nation Newspaper.",https://cdn.thenationonlineng.net/wp-content/uploads/2024/07/23061837/Lagos-state-government-logo-1.jpg,2024-10-18 04:06:27,"lagos State is partnering Opay and Cowry Wise financial services to make loans available to indigent women traders, Special Adviser to the governor on Sustainable Development Goals (SDG), Dr. Oreoluwa Finnih-Awokoya, has said.

This, she said, will boost their capital and they can be literate to key into the state’s financial inclusion system.

Finnih-Awokoya, at a news conference, said it is part of her mandate to promote human capital by eliminating financial exclusion.

To benefit, the women must have National Identification Number and Lagos State Resident Registration Agency (LASRRA).

Read Also: Lagos mulls greater cyber safety awareness in schools

She said: “Collaboration is the approach to private partnership, and this is why the SDG approached them. Nevertheless, we invite institutions to join us in this human capital development.

“Human capital development matters reflect strength of society because it is meant to ensure growth. …”

Representative of Opay, Adedotun Adekunle, said this is meant to get people into the financial ecosystem.

“It is what we do, to get many into the financial ecosystem, get them educated and empowered to do business to earn a living,” he said.

Representative of Cowry Wise, Oyeyinka Oyekan, said the firm’s objective since 2017 is to make savings and investment accessible, regardless of background."
6,260129792,"Adedayo Akinwale,Adeyinka Salami",Adedayo Akinwale,INEC Fixes November 2025 for Anambra Governorship Election,"Adedayo Akinwale in Abuja The  Independent National Electoral Commission (INEC),has scheduled the Anambra State governorship election for Saturday November 8, 2025. INEC Chairman, Prof. Mahmood Yakubu, disclosed this yesterday in",https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/2022/02/f15e7f8e-this-day-live-logo.png,2024-10-18 01:59:21,"Adedayo Akinwale in Abuja

The Independent National Electoral Commission (INEC),has scheduled the Anambra State governorship election for Saturday November 8, 2025.

INEC Chairman, Prof. Mahmood Yakubu, disclosed this yesterday in Abuja at the fourth regular consultative meeting with political parties.

He explained that Section 28(1) of the Electoral Act 2022 required the commission to issue the notice for elections not later than 360 days before the date of the election, saying this applied to the general as well as off-cycle governorship elections.

Yakubu stated: “As you are aware, the last governorship election in Anambra State was held on 6th November 2021. By the effluxion of time, the governorship election is due next year.

“Consequently, the Commission has approved that the 2025 Anambra State governorship election will hold on Saturday 8th November 2025.

“In compliance with the mandatory requirement of 360 days, the formal notice for the election will be published on 13th November 2024. Party primaries will be held from 20th March 2025 to 10th April 2025.

“The candidate nomination portal will open at 9.00am on 18th April 2025 and close at 6.00pm on 12th May 2025. The final list of candidates will be published on 9th June 2025.

“Campaigns in public by political parties will commence on 11th June 2025 and end at midnight of Thursday 6th November 2025.

“Voting will take place in all the 5,720 Polling Units across the State on Saturday 8th November 2025.

“In the coming weeks, the Commission will provide details of other electoral activities, including the registration of new voters, transfer of voters and the replacement of lost or damaged PVCs.”

The chairman noted that the detailed timetable and schedule of activities for the 2025 Anambra State election would be uploaded on its website and social media platforms.

Yakubu, therefore, urged political parties to use the INEC timetable to come up with their own timetable and schedule of activities to enable them work together and plan better for the deployment of personnel and resources for the monitoring of party primaries and campaign activities.

He said by doing so, they would avoid the last minute rush with the attendant inability to meet deadlines.

Chairman of Inter Party Advisory Council (IPAC), Yusuf Dantalle, reiterated its demand for the scrapping of the State Independent Electoral Commissions (SIECs), saying the sham called elections they conduct were deliberate assault on the nation’s democracy.

He said the council would not fold its hand and allow this glaring perversion of the democratic process to continue."
7,260138520,Our Correspondents,Our Correspondents,"INEC Fixes November 8, 2025 For Anambra Guber Poll","&#160;The Independent National Elec­toral Commission (INEC) has an­nounced November 8, 2025, as the date for the off-cycle governorship election in Anambra State. INEC Chairman, Prof. Mah­mood Yakubu, said this on Thurs­day in Abuja at an extraordinary meeting with leaders of the na­tion’s registered political parties, which, he said, would be the last in its regular [&#8230;]",https://independent.ng/wp-content/uploads/Prof.-Mahmoud-Yakubu.webp,2024-10-18 04:44:24,"The Independent National Elec-toral Commission (INEC) has an-nounced November 8, 2025, as the date for the off-cycle governorship election in Anambra State.

INEC Chairman, Prof. Mah-mood Yakubu, said this on Thurs-day in Abuja at an extraordinary meeting with leaders of the na-tion’s registered political parties, which, he said, would be the last in its regular quarterly consultative meetings with political parties for 2024.

He said a formal notice for the election will be published on No-vember 13, 2024.

Yakubu said the commission expects the parties to conduct their primaries between March 20, 2025 and April 10, 2025, while the candidate nomination portal will open at 9:00a.m on April 18, 2025 and close at 6:00p.m on May 12, 2025.

The INEC chairman said the final list of candidates will be published on June 9, 2025, while campaigns in public by political parties will commence on June 11, 2025 and end at midnight on Thursday, November 6, 2025.

“I have repeatedly said that there is no election season in Nigeria any longer. Recently, our regular meetings have come on the eve of major elections. With just 29 days (or four weeks) to the Ondo State governorship election, today’s meeting is no exception.

“Only two days ago, the com-mission presented the register of voters to political parties in our state office in Akure. With this development, we have success-fully accomplished 10 out of the 13 activities listed in the timetable and schedule of activities for the election.

“The remaining activities are the publication of the notice of poll, the last day of campaign and election day,” Yakubu said.

He said even as the commis-sion prepares for the Ondo State governorship election, it is always mindful of its responsibilities for elections and electoral activities.

He said for instance, Section 28(1) of the Electoral Act 2022 re-quires the commission to issue the notice for elections not later than 360 days before the date of the election.

He said, “This applies to the general as well as off-cycle gov-ernorship elections. As you are aware, the last governorship elec-tion in Anambra State was held on 6th November 2021. By the ef-fluxion of time, the governorship election is due next year.

“Consequently, the commis-sion has approved that the 2025 Anambra State governorship election will hold on Saturday 8th November 2025. In compliance with the mandatory requirement of 360 days, the formal notice for the election will be published on 13th November 2024,” Yakubu said.

Speaking on behalf of the political parties, National Chair-man, Inter-Party Advisory Council (IPAC), Yusuf Mamman Dantelle, reiterated its demand for the scrapping of the State Inde-pendent Electoral Commissions (SIECs), as elections conducted by SIECS are a sham, thus SIECs are a deliberate assault on Nigeria’s democracy.

“It is not just a coronation of the candidates of a ruling party in the state, it is daylight robbery of people’s votes and mandates for chairmanship and councilor positions. In place of SIECs INEC should conduct all local govern-ment elections in Nigeria as it does for federal and state elections. There is no need to create another body to conduct local government polls,” he said."
8,260142396,"The Nation,Tony Akowe",The Nation,"INEC fixes November 8, 2025 for Anambra governorship poll","The Independent National Electoral Commission (INEC) has announced November 8, next year, as the date for the off-cycle governorship election in Anambra State, in line with the provisions of the


The post INEC fixes November 8, 2025 for Anambra governorship poll appeared first on The Nation Newspaper.",https://cdn.thenationonlineng.net/wp-content/uploads/2024/10/15161337/INEC.png,2024-10-18 04:21:54,"The Independent National Electoral Commission (INEC) has announced November 8, next year, as the date for the off-cycle governorship election in Anambra State, in line with the provisions of the Electoral Act 2022.

Announcing this yesterday in Abuja at a meeting with leaders of political parties, INEC Chairman Prof. Mahmood Yakubu said a formal notice for the election would be published on November 13, this year, ahead of preparations for the election.

The INEC chairman said the commission expected the parties to conduct their primaries between March 20 and April 10, next year, while the candidate nomination portal would open at 9 a.m on April 18, and close at 6 p.m on May 12, next year.

He said the final list of candidates would be published on June 9, while public campaigns by political parties would start on June 11 and end at midnight of Thursday, November 6, next year.

Yakubu announced that in the coming weeks, the commission would provide details of other electoral activities, including the registration of new voters, transfer of voters and the replacement of lost or damaged permanent voter’s cards (PVCs).

The INEC chairman said a detailed timetable and schedule of activities for the Anambra State governorship election would be uploaded to the commission’s website and social media platforms before the end of the meeting.

He added that hard copies would also be made available to the parties.

Yakubu directed political parties to use the INEC timetable to come up with their own timetable and schedule of activities to enable the commission work with them and plan better for the deployment of personnel and resources for the monitoring of parties’ primaries and campaign activities.

He said: “By doing so, you will avoid the last-minute rush with the attendant inability to meet deadlines. We will discuss this important matter at this meeting.”

Read Also: INEC announces Nov 8, 2025 for Anambra governorship election

Commenting on past activities of the commission, Yakubu said: “You may recall that about two months ago, on Thursday, August 29, we had an extraordinary meeting on preparations for the Edo State governorship election.

“Today, we are holding the last in our regular quarterly consultative meetings with political parties for this year. We are glad that you continue to oblige us with your presence, despite the short notice.

“I have repeatedly said that there is no election season in Nigeria any longer. Recently, our regular meetings have come on the eve of major elections. With just 29 days (or four weeks) to the Ondo State governorship election, today’s meeting is no exception.

“Only two days ago, the commission presented the register of voters to political parties in our State Office in Akure. With this development, we have successfully accomplished 10 out of the 13 activities listed in the Timetable and Schedule of Activities for the election.

“The remaining activities are the publication of the Notice of Poll, the Last Day of Campaign and Election Day. Although we have already published the Timetable, we are once again including copies in your folders for this meeting for guidance.

“We have included in your folders for this meeting a summary of the list of polling and collation agents for the Ondo State election. The commission is glad to note that all political parties fielding candidates for the election are in full compliance with the requirements for the upload.

“We are working in earnest to ensure that we delivered the identification tags for each of the 24,148 agents uploaded to our portal.

“The commission is also glad to report that the collection of the Permanent Voter’s Cards (PVCs) from the last Continuous Voter Registration (CVR) commenced today in Ondo State. For the next five days (October 17 to 21, 2024), the cards will be available for collection at each of the 203 wards across the state.

“Thereafter, the cards will be available for collection in our 18 local government area offices in the state for one week (October 23 to 29, 2024). As earlier announced, the centres will be open to citizens from 9 a.m to 5 p.m daily.

“A document containing the names and location addresses of the 221 collection centres has already been uploaded to our website for public information. Hard copies are also included in your folders for this meeting.

“As usual, we appeal to political parties to support the commission in mobilising registered voters to collect their PVCs.

“To make the process easier, we have also uploaded the register containing the names and photographs of new voters (fresh registrants, transfers and applications for replacement of lost or damaged PVCs) to our website to facilitate a seamless collection of the cards.

“Even as we prepare for the Ondo State governorship election, we are always mindful of our responsibilities for elections and electoral activities.

“For instance, Section 28(1) of the Electoral Act 2022 requires the commission to issue the notice for elections not later than 360 days before the date of the election. This applies to the general as well as off-cycle governorship elections.”"
9,260130148,"Adeyinka Salami,Sunday Aborisade",Adeyinka Salami,Impeachment: Senators Pass Confidence Vote in Akpabio,"*House’s support for Abbas unquestionable, says deputy spokespersonSunday Aborisade and Juliet Akoje in Abuja Senators at plenary, yesterday, passed a vote of confidence in the leadership of the Senate led",https://global.ariseplay.com/amg/www.thisdaylive.com/uploads/Akpabio-1.jpeg,2024-10-18 02:06:06,"House’s support for Abbas unquestionable, says deputy spokespersonSunday Aborisade and Juliet Akoje in Abuja

Senators at plenary, yesterday, passed a vote of confidence in the leadership of the Senate led by its President, Godswill Akpabio.

At the same time, the Deputy Spokesperson of the House of Representatives, Hon Philip Agbese, has pledged the readiness of his colleagues to continue to support the Speaker, Tajudeen Abbas, in his quest of leading the 10th House to deliver on its Legislative Agenda.

The Senate resolution followed a motion by a former Senate Leader, Senator Yahaya Abdullahi, who raised a point of order to draw the attention of his colleagues to a news report, which indicated that northern senators were plotting to impeach Akpabio.

Abdullahi, who is representing Kebbi North Senatorial District, denied his involvement, or that of any member of the Northern Senators Forum in the alleged plot.

He said, “I am senior member of the Northern Senators’ Forum and I can assure you that there is no attempt by any caucus among the northern senators to bring discord or any attempt to challenge the unity of what you are doing in the Senate.

“My privilege has been breached. Anybody trying to bring division across any regional line is undermining the progress of our democracy and undermining the capacity of this institution to deliver to deliver in the presence of governors of this country.

“Therefore, we must rise and get united under the leadership to ensure that this kind of discourse is completely negated, so that the kind of unity that we have forged in the last 18 months can be sustained and fully accomplished.”

Agbese, who lauded the speaker’s ‘humility’ stated that his legislative intelligence and resolve to carry members along regardless of party affiliations was responsible for the unity in the House.

The lawmaker while briefing journalists noted that though lawmakers in the House were elected on the platform of eight different political parties, the unity in the legislative chamber was non-negotiable.

“People have asked me the secret to the unity in the House but what I tell them is this: ‘The Speaker of the 10th House of Representatives is a humble leader, whose kind is very rare in this part of the world. We are fully behind him because his leadership is infectious.

“Unlike what obtained in the past where members were divided along party lines, we are one in our determination to make governance count for Nigerians.

“All lawmakers whether they came to the House on the platform of APC, PDP, APGA, LP, SDP, ADC or YPP are unanimous in their belief that through effective legislation, our people back home can be happier than they are today.”"
